Non-English Language (Language isolation) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 14+, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),Households (language Isolation),Rank within US (of 3142 counties)
"Jenkins County",13165,0.0,0,"1"
"Johnson County",13167,0.0,0,"1"
"Lamar County",13171,0.0,0,"1"
"Lee County",13177,0.0,0,"1"
"Lincoln County",13181,0.0,0,"1"
"McDuffie County",13189,0.0,0,"1"
"McIntosh County",13191,0.0,0,"1"
"Monroe County",13207,0.0,0,"1"
"Pike County",13231,0.0,1,"1"
"Randolph County",13243,0.0,0,"1"
"Schley County",13249,0.0,0,"1"
"Stewart County",13259,0.0,0,"1"
"Talbot County",13263,0.0,0,"1"
"Taliaferro County",13265,0.0,0,"1"
"Telfair County",13271,0.0,0,"1"
"Towns County",13281,0.0,2,"1"
"Treutlen County",13283,0.0,0,"1"
"Warren County",13301,0.0,0,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language (Language isolation), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#non-english-language-language-isolation."
